Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Protein stable ID,Protein stable ID version,Gene name,Transcript name
ENSG00000238269,ENSG00000238269.9,ENST00000374974,ENST00000374974.7,ENSP00000364113,ENSP00000364113.3,PAGE2B,PAGE2B-202
ENSG00000165233,ENSG00000165233.18,ENST00000375464,ENST00000375464.7,ENSP00000364613,ENSP00000364613.2,CARD19,CARD19-201
ENSG00000129195,ENSG00000129195.16,ENST00000572447,ENST00000572447.6,ENSP00000459235,ENSP00000459235.1,PIMREG,PIMREG-205
ENSG00000129195,ENSG00000129195.16,ENST00000250056,ENST00000250056.12,ENSP00000250056,ENSP00000250056.8,PIMREG,PIMREG-201
ENSG00000129195,ENSG00000129195.16,ENST00000571373,ENST00000571373.5,ENSP00000459597,ENSP00000459597.1,PIMREG,PIMREG-203
ENSG00000129195,ENSG00000129195.16,ENST00000570337,ENST00000570337.6,ENSP00000460894,ENSP00000460894.1,PIMREG,PIMREG-202
ENSG00000129195,ENSG00000129195.16,ENST00000572595,ENST00000572595.6,ENSP00000458584,ENSP00000458584.2,PIMREG,PIMREG-206
ENSG00000129195,ENSG00000129195.16,ENST00000576056,ENST00000576056.5,ENSP00000458534,ENSP00000458534.1,PIMREG,PIMREG-209
ENSG00000129195,ENSG00000129195.16,ENST00000571572,ENST00000571572.2,ENSP00000459860,ENSP00000459860.2,PIMREG,PIMREG-204
ENSG00000234068,ENSG00000234068.7,ENST00000374968,ENST00000374968.9,ENSP00000364107,ENSP00000364107.4,PAGE2,PAGE2-202
ENSG00000234068,ENSG00000234068.7,ENST00000374965,ENST00000374965.5,ENSP00000364104,ENSP00000364104.1,PAGE2,PAGE2-201
ENSG00000234068,ENSG00000234068.7,ENST00000449097,ENST00000449097.1,ENSP00000392976,ENSP00000392976.1,PAGE2,PAGE2-203
ENSG00000146350,ENSG00000146350.14,ENST00000275159,ENST00000275159.10,ENSP00000275159,ENSP00000275159.6,TBC1D32,TBC1D32-201
ENSG00000146350,ENSG00000146350.14,ENST00000398212,ENST00000398212.7,ENSP00000381270,ENSP00000381270.2,TBC1D32,TBC1D32-204
ENSG00000146350,ENSG00000146350.14,ENST00000422369,ENST00000422369.1,ENSP00000397993,ENSP00000397993.1,TBC1D32,TBC1D32-205
ENSG00000135605,ENSG00000135605.13,ENST00000381501,ENST00000381501.8,ENSP00000370912,ENSP00000370912.3,TEC,TEC-201
ENSG00000197724,ENSG00000197724.11,ENST00000359246,ENST00000359246.9,ENSP00000352185,ENSP00000352185.4,PHF2,PHF2-201
ENSG00000197724,ENSG00000197724.11,ENST00000610682,ENST00000610682.1,ENSP00000479936,ENSP00000479936.1,PHF2,PHF2-203
ENSG00000197724,ENSG00000197724.11,ENST00000375376,ENST00000375376.8,ENSP00000364525,ENSP00000364525.5,PHF2,PHF2-202
ENSG00000256045,ENSG00000256045.3,ENST00000545075,ENST00000545075.3,ENSP00000442159,ENSP00000442159.1,MTRNR2L10,MTRNR2L10-201
ENSG00000149021,ENSG00000149021.7,ENST00000534397,ENST00000534397.5,ENSP00000432866,ENSP00000432866.1,SCGB1A1,SCGB1A1-202
ENSG00000149021,ENSG00000149021.7,ENST00000278282,ENST00000278282.3,ENSP00000278282,ENSP00000278282.2,SCGB1A1,SCGB1A1-201
ENSG00000154478,ENSG00000154478.4,ENST00000284674,ENST00000284674.2,ENSP00000284674,ENSP00000284674.1,GPR26,GPR26-201
ENSG00000196924,ENSG00000196924.19,ENST00000422373,ENST00000422373.6,ENSP00000416926,ENSP00000416926.2,FLNA,FLNA-206
ENSG00000196924,ENSG00000196924.19,ENST00000360319,ENST00000360319.9,ENSP00000353467,ENSP00000353467.4,FLNA,FLNA-201
ENSG00000196924,ENSG00000196924.19,ENST00000369856,ENST00000369856.8,ENSP00000358872,ENSP00000358872.4,FLNA,FLNA-203
ENSG00000196924,ENSG00000196924.19,ENST00000369850,ENST00000369850.10,ENSP00000358866,ENSP00000358866.3,FLNA,FLNA-202
ENSG00000196924,ENSG00000196924.19,ENST00000673639,ENST00000673639.2,ENSP00000501210,ENSP00000501210.2,FLNA,FLNA-219
ENSG00000196924,ENSG00000196924.19,ENST00000444578,ENST00000444578.1,ENSP00000397824,ENSP00000397824.1,FLNA,FLNA-208
ENSG00000196924,ENSG00000196924.19,ENST00000438732,ENST00000438732.2,ENSP00000398215,ENSP00000398215.1,FLNA,FLNA-207
ENSG00000166415,ENSG00000166415.15,ENST00000396328,ENST00000396328.5,ENSP00000379619,ENSP00000379619.1,WDR72,WDR72-202
ENSG00000166415,ENSG00000166415.15,ENST00000557913,ENST00000557913.5,ENSP00000453378,ENSP00000453378.1,WDR72,WDR72-203
ENSG00000166415,ENSG00000166415.15,ENST00000360509,ENST00000360509.10,ENSP00000353699,ENSP00000353699.5,WDR72,WDR72-201
ENSG00000166415,ENSG00000166415.15,ENST00000559418,ENST00000559418.5,ENSP00000452765,ENSP00000452765.1,WDR72,WDR72-204
ENSG00000166415,ENSG00000166415.15,ENST00000560036,ENST00000560036.1,ENSP00000453813,ENSP00000453813.1,WDR72,WDR72-205
ENSG00000166415,ENSG00000166415.15,ENST00000614174,ENST00000614174.4,ENSP00000477754,ENSP00000477754.1,WDR72,WDR72-208
ENSG00000107518,ENSG00000107518.18,ENST00000609571,ENST00000609571.5,ENSP00000476902,ENSP00000476902.2,ATRNL1,ATRNL1-209
ENSG00000107518,ENSG00000107518.18,ENST00000526946,ENST00000526946.5,ENSP00000431423,ENSP00000431423.1,ATRNL1,ATRNL1-206
ENSG00000107518,ENSG00000107518.18,ENST00000527407,ENST00000527407.5,ENSP00000473412,ENSP00000473412.1,ATRNL1,ATRNL1-207
ENSG00000107518,ENSG00000107518.18,ENST00000355044,ENST00000355044.8,ENSP00000347152,ENSP00000347152.3,ATRNL1,ATRNL1-201
ENSG00000107518,ENSG00000107518.18,ENST00000526373,ENST00000526373.1,ENSP00000434118,ENSP00000434118.1,ATRNL1,ATRNL1-205
ENSG00000166959,ENSG00000166959.8,ENST00000300226,ENST00000300226.7,ENSP00000300226,ENSP00000300226.2,MS4A8,MS4A8-201
ENSG00000166959,ENSG00000166959.8,ENST00000529752,ENST00000529752.5,ENSP00000436857,ENSP00000436857.1,MS4A8,MS4A8-204
ENSG00000166959,ENSG00000166959.8,ENST00000525458,ENST00000525458.1,ENSP00000433200,ENSP00000433200.1,MS4A8,MS4A8-203
ENSG00000124160,ENSG00000124160.12,ENST00000290231,ENST00000290231.11,ENSP00000290231,ENSP00000290231.6,NCOA5,NCOA5-201
ENSG00000124160,ENSG00000124160.12,ENST00000372291,ENST00000372291.3,ENSP00000361365,ENSP00000361365.3,NCOA5,NCOA5-202
ENSG00000169570,ENSG00000169570.10,ENST00000304058,ENST00000304058.8,ENSP00000302892,ENSP00000302892.4,DTWD2,DTWD2-201
ENSG00000169570,ENSG00000169570.10,ENST00000510708,ENST00000510708.6,ENSP00000425048,ENSP00000425048.1,DTWD2,DTWD2-203
ENSG00000169570,ENSG00000169570.10,ENST00000515439,ENST00000515439.7,ENSP00000424221,ENSP00000424221.2,DTWD2,DTWD2-204
ENSG00000108559,ENSG00000108559.12,ENST00000573584,ENST00000573584.6,ENSP00000458954,ENSP00000458954.1,NUP88,NUP88-207
ENSG00000108559,ENSG00000108559.12,ENST00000225696,ENST00000225696.8,ENSP00000225696,ENSP00000225696.4,NUP88,NUP88-201
ENSG00000108559,ENSG00000108559.12,ENST00000572809,ENST00000572809.1,ENSP00000459370,ENSP00000459370.1,NUP88,NUP88-205
ENSG00000197275,ENSG00000197275.14,ENST00000336148,ENST00000336148.10,ENSP00000336606,ENSP00000336606.5,RAD54B,RAD54B-202
ENSG00000197275,ENSG00000197275.14,ENST00000523839,ENST00000523839.5,ENSP00000428554,ENSP00000428554.1,RAD54B,RAD54B-208
ENSG00000197275,ENSG00000197275.14,ENST00000297592,ENST00000297592.5,ENSP00000430153,ENSP00000430153.2,RAD54B,RAD54B-201
ENSG00000129566,ENSG00000129566.13,ENST00000262715,ENST00000262715.10,ENSP00000262715,ENSP00000262715.5,TEP1,TEP1-201
ENSG00000129566,ENSG00000129566.13,ENST00000556935,ENST00000556935.5,ENSP00000452574,ENSP00000452574.1,TEP1,TEP1-209
ENSG00000129566,ENSG00000129566.13,ENST00000553984,ENST00000553984.1,ENSP00000450508,ENSP00000450508.1,TEP1,TEP1-204
ENSG00000129566,ENSG00000129566.13,ENST00000556549,ENST00000556549.1,ENSP00000452240,ENSP00000452240.1,TEP1,TEP1-208
ENSG00000101347,ENSG00000101347.11,ENST00000646673,ENST00000646673.2,ENSP00000493536,ENSP00000493536.2,SAMHD1,SAMHD1-221
ENSG00000101347,ENSG00000101347.11,ENST00000262878,ENST00000262878.5,ENSP00000262878,ENSP00000262878.5,SAMHD1,SAMHD1-201
ENSG00000101347,ENSG00000101347.11,ENST00000643918,ENST00000643918.1,ENSP00000493928,ENSP00000493928.1,SAMHD1,SAMHD1-212
ENSG00000101347,ENSG00000101347.11,ENST00000646066,ENST00000646066.1,ENSP00000495432,ENSP00000495432.1,SAMHD1,SAMHD1-219
ENSG00000101347,ENSG00000101347.11,ENST00000465985,ENST00000465985.2,ENSP00000496075,ENSP00000496075.1,SAMHD1,SAMHD1-202
ENSG00000101347,ENSG00000101347.11,ENST00000643825,ENST00000643825.1,ENSP00000495448,ENSP00000495448.1,SAMHD1,SAMHD1-210
ENSG00000157796,ENSG00000157796.18,ENST00000399820,ENST00000399820.8,ENSP00000382717,ENSP00000382717.3,WDR19,WDR19-201
ENSG00000157796,ENSG00000157796.18,ENST00000509560,ENST00000509560.5,ENSP00000426918,ENSP00000426918.1,WDR19,WDR19-210
ENSG00000157796,ENSG00000157796.18,ENST00000512112,ENST00000512112.5,ENSP00000421888,ENSP00000421888.1,WDR19,WDR19-214
ENSG00000157796,ENSG00000157796.18,ENST00000506503,ENST00000506503.1,ENSP00000423491,ENSP00000423491.1,WDR19,WDR19-207
ENSG00000113460,ENSG00000113460.13,ENST00000336767,ENST00000336767.6,ENSP00000338862,ENSP00000338862.5,BRIX1,BRIX1-201
ENSG00000100029,ENSG00000100029.18,ENST00000354694,ENST00000354694.12,ENSP00000346725,ENSP00000346725.6,PES1,PES1-202
ENSG00000100029,ENSG00000100029.18,ENST00000402281,ENST00000402281.5,ENSP00000384366,ENSP00000384366.1,PES1,PES1-203
ENSG00000100029,ENSG00000100029.18,ENST00000441668,ENST00000441668.5,ENSP00000404234,ENSP00000404234.1,PES1,PES1-208
ENSG00000100029,ENSG00000100029.18,ENST00000405677,ENST00000405677.5,ENSP00000385654,ENSP00000385654.1,PES1,PES1-205
ENSG00000100029,ENSG00000100029.18,ENST00000402284,ENST00000402284.7,ENSP00000384252,ENSP00000384252.3,PES1,PES1-204
ENSG00000100029,ENSG00000100029.18,ENST00000335214,ENST00000335214.8,ENSP00000334612,ENSP00000334612.6,PES1,PES1-201
ENSG00000100029,ENSG00000100029.18,ENST00000406208,ENST00000406208.7,ENSP00000384777,ENSP00000384777.3,PES1,PES1-206
ENSG00000284873,ENSG00000284873.1,ENST00000644529,ENST00000644529.1,ENSP00000494485,ENSP00000494485.1,OOSP1,OOSP1-201
ENSG00000284873,ENSG00000284873.1,ENST00000646685,ENST00000646685.1,ENSP00000493578,ENSP00000493578.1,OOSP1,OOSP1-202
ENSG00000129173,ENSG00000129173.13,ENST00000527884,ENST00000527884.5,ENSP00000434199,ENSP00000434199.1,E2F8,E2F8-202
ENSG00000129173,ENSG00000129173.13,ENST00000250024,ENST00000250024.9,ENSP00000250024,ENSP00000250024.4,E2F8,E2F8-201
ENSG00000129173,ENSG00000129173.13,ENST00000532666,ENST00000532666.1,ENSP00000437326,ENSP00000437326.1,E2F8,E2F8-204
ENSG00000129173,ENSG00000129173.13,ENST00000620009,ENST00000620009.4,ENSP00000481103,ENSP00000481103.1,E2F8,E2F8-205
ENSG00000146383,ENSG00000146383.7,ENST00000275198,ENST00000275198.1,ENSP00000275198,ENSP00000275198.1,TAAR6,TAAR6-201
ENSG00000198225,ENSG00000198225.5,ENST00000370659,ENST00000370659.1,ENSP00000359693,ENSP00000359693.1,FKBP1C,FKBP1C-201
ENSG00000165752,ENSG00000165752.17,ENST00000368622,ENST00000368622.5,ENSP00000357611,ENSP00000357611.1,STK32C,STK32C-204
ENSG00000165752,ENSG00000165752.17,ENST00000298630,ENST00000298630.8,ENSP00000298630,ENSP00000298630.3,STK32C,STK32C-201
ENSG00000165752,ENSG00000165752.17,ENST00000368620,ENST00000368620.2,ENSP00000357609,ENSP00000357609.3,STK32C,STK32C-203
ENSG00000165752,ENSG00000165752.17,ENST00000368619,ENST00000368619.3,ENSP00000357608,ENSP00000357608.4,STK32C,STK32C-202
ENSG00000165752,ENSG00000165752.17,ENST00000456004,ENST00000456004.1,ENSP00000389112,ENSP00000389112.2,STK32C,STK32C-205
ENSG00000176571,ENSG00000176571.12,ENST00000518476,ENST00000518476.6,ENSP00000430073,ENSP00000430073.1,CNBD1,CNBD1-202
ENSG00000176571,ENSG00000176571.12,ENST00000523299,ENST00000523299.5,ENSP00000430986,ENSP00000430986.1,CNBD1,CNBD1-206
ENSG00000176571,ENSG00000176571.12,ENST00000521593,ENST00000521593.5,ENSP00000427742,ENSP00000427742.1,CNBD1,CNBD1-203
ENSG00000176571,ENSG00000176571.12,ENST00000620844,ENST00000620844.1,ENSP00000477731,ENSP00000477731.1,CNBD1,CNBD1-207
ENSG00000198523,ENSG00000198523.6,ENST00000357525,ENST00000357525.6,ENSP00000350132,ENSP00000350132.5,PLN,PLN-201
ENSG00000134996,ENSG00000134996.12,ENST00000346234,ENST00000346234.7,ENSP00000340836,ENSP00000340836.6,OSTF1,OSTF1-201
ENSG00000111885,ENSG00000111885.7,ENST00000368468,ENST00000368468.4,ENSP00000357453,ENSP00000357453.3,MAN1A1,MAN1A1-201
ENSG00000167779,ENSG00000167779.9,ENST00000548547,ENST00000548547.5,ENSP00000448953,ENSP00000448953.1,IGFBP6,IGFBP6-203
ENSG00000167779,ENSG00000167779.9,ENST00000301464,ENST00000301464.4,ENSP00000301464,ENSP00000301464.3,IGFBP6,IGFBP6-201
ENSG00000167779,ENSG00000167779.9,ENST00000650247,ENST00000650247.1,ENSP00000498200,ENSP00000498200.1,IGFBP6,IGFBP6-205
ENSG00000167779,ENSG00000167779.9,ENST00000549628,ENST00000549628.1,ENSP00000497776,ENSP00000497776.1,IGFBP6,IGFBP6-204
ENSG00000169752,ENSG00000169752.17,ENST00000394907,ENST00000394907.8,ENSP00000378367,ENSP00000378367.3,NRG4,NRG4-201
ENSG00000169752,ENSG00000169752.17,ENST00000563910,ENST00000563910.5,ENSP00000455167,ENSP00000455167.1,NRG4,NRG4-208
ENSG00000153914,ENSG00000153914.16,ENST00000521691,ENST00000521691.5,ENSP00000428272,ENSP00000428272.1,SREK1,SREK1-210
ENSG00000153914,ENSG00000153914.16,ENST00000334121,ENST00000334121.11,ENSP00000334538,ENSP00000334538.6,SREK1,SREK1-202
ENSG00000153914,ENSG00000153914.16,ENST00000380918,ENST00000380918.7,ENSP00000370305,ENSP00000370305.3,SREK1,SREK1-203
ENSG00000153914,ENSG00000153914.16,ENST00000612404,ENST00000612404.4,ENSP00000481430,ENSP00000481430.1,SREK1,SREK1-216
ENSG00000272636,ENSG00000272636.4,ENST00000613549,ENST00000613549.3,ENSP00000482950,ENSP00000482950.1,DOC2B,DOC2B-203
ENSG00000047932,ENSG00000047932.14,ENST00000368498,ENST00000368498.7,ENSP00000357484,ENSP00000357484.2,GOPC,GOPC-202
ENSG00000047932,ENSG00000047932.14,ENST00000052569,ENST00000052569.10,ENSP00000052569,ENSP00000052569.6,GOPC,GOPC-201
ENSG00000047932,ENSG00000047932.14,ENST00000535237,ENST00000535237.2,ENSP00000445690,ENSP00000445690.2,GOPC,GOPC-203
ENSG00000156162,ENSG00000156162.16,ENST00000522422,ENST00000522422.5,ENSP00000428762,ENSP00000428762.1,DPY19L4,DPY19L4-206
ENSG00000156162,ENSG00000156162.16,ENST00000414645,ENST00000414645.6,ENSP00000389630,ENSP00000389630.2,DPY19L4,DPY19L4-201
ENSG00000156162,ENSG00000156162.16,ENST00000519353,ENST00000519353.5,ENSP00000428041,ENSP00000428041.1,DPY19L4,DPY19L4-203
ENSG00000156162,ENSG00000156162.16,ENST00000519176,ENST00000519176.5,ENSP00000430417,ENSP00000430417.1,DPY19L4,DPY19L4-202
ENSG00000156162,ENSG00000156162.16,ENST00000521525,ENST00000521525.1,ENSP00000429559,ENSP00000429559.1,DPY19L4,DPY19L4-205
ENSG00000156162,ENSG00000156162.16,ENST00000523020,ENST00000523020.1,ENSP00000429785,ENSP00000429785.1,DPY19L4,DPY19L4-208
ENSG00000157570,ENSG00000157570.12,ENST00000533786,ENST00000533786.5,ENSP00000433592,ENSP00000433592.1,TSPAN18,TSPAN18-213
ENSG00000157570,ENSG00000157570.12,ENST00000533202,ENST00000533202.5,ENSP00000434625,ENSP00000434625.1,TSPAN18,TSPAN18-212
ENSG00000157570,ENSG00000157570.12,ENST00000533080,ENST00000533080.5,ENSP00000433362,ENSP00000433362.1,TSPAN18,TSPAN18-211
ENSG00000157570,ENSG00000157570.12,ENST00000520358,ENST00000520358.7,ENSP00000429993,ENSP00000429993.2,TSPAN18,TSPAN18-207
ENSG00000157570,ENSG00000157570.12,ENST00000520999,ENST00000520999.6,ENSP00000427942,ENSP00000427942.2,TSPAN18,TSPAN18-209
ENSG00000157570,ENSG00000157570.12,ENST00000520837,ENST00000520837.5,ENSP00000430343,ENSP00000430343.1,TSPAN18,TSPAN18-208
ENSG00000157570,ENSG00000157570.12,ENST00000518429,ENST00000518429.2,ENSP00000429020,ENSP00000429020.2,TSPAN18,TSPAN18-203
ENSG00000157570,ENSG00000157570.12,ENST00000340160,ENST00000340160.7,ENSP00000339820,ENSP00000339820.3,TSPAN18,TSPAN18-201
ENSG00000276040,ENSG00000276040.4,ENST00000619167,ENST00000619167.1,ENSP00000484807,ENSP00000484807.1,SPATA31A7,SPATA31A7-206
ENSG00000188690,ENSG00000188690.15,ENST00000616800,ENST00000616800.4,ENSP00000482520,ENSP00000482520.1,UROS,UROS-211
ENSG00000188690,ENSG00000188690.15,ENST00000622016,ENST00000622016.4,ENSP00000483041,ENSP00000483041.1,UROS,UROS-212
ENSG00000188690,ENSG00000188690.15,ENST00000368786,ENST00000368786.5,ENSP00000357775,ENSP00000357775.1,UROS,UROS-203
ENSG00000188690,ENSG00000188690.15,ENST00000650587,ENST00000650587.1,ENSP00000497366,ENSP00000497366.1,UROS,UROS-221
ENSG00000188690,ENSG00000188690.15,ENST00000649536,ENST00000649536.1,ENSP00000497817,ENSP00000497817.1,UROS,UROS-217
ENSG00000188690,ENSG00000188690.15,ENST00000368797,ENST00000368797.10,ENSP00000357787,ENSP00000357787.4,UROS,UROS-204
ENSG00000188690,ENSG00000188690.15,ENST00000462490,ENST00000462490.5,ENSP00000478957,ENSP00000478957.1,UROS,UROS-206
ENSG00000188690,ENSG00000188690.15,ENST00000420761,ENST00000420761.5,ENSP00000414833,ENSP00000414833.1,UROS,UROS-205
ENSG00000188690,ENSG00000188690.15,ENST00000368778,ENST00000368778.7,ENSP00000357767,ENSP00000357767.3,UROS,UROS-202
ENSG00000188690,ENSG00000188690.15,ENST00000368774,ENST00000368774.1,ENSP00000357763,ENSP00000357763.1,UROS,UROS-201
ENSG00000172867,ENSG00000172867.4,ENST00000309680,ENST00000309680.4,ENSP00000310861,ENSP00000310861.3,KRT2,KRT2-201
ENSG00000004660,ENSG00000004660.15,ENST00000381769,ENST00000381769.6,ENSP00000371188,ENSP00000371188.2,CAMKK1,CAMKK1-203
ENSG00000004660,ENSG00000004660.15,ENST00000348335,ENST00000348335.7,ENSP00000323118,ENSP00000323118.3,CAMKK1,CAMKK1-202
ENSG00000004660,ENSG00000004660.15,ENST00000158166,ENST00000158166.5,ENSP00000158166,ENSP00000158166.5,CAMKK1,CAMKK1-201
ENSG00000111602,ENSG00000111602.12,ENST00000553532,ENST00000553532.6,ENSP00000450607,ENSP00000450607.1,TIMELESS,TIMELESS-203
ENSG00000111602,ENSG00000111602.12,ENST00000229201,ENST00000229201.4,ENSP00000229201,ENSP00000229201.4,TIMELESS,TIMELESS-201
ENSG00000155111,ENSG00000155111.15,ENST00000368911,ENST00000368911.8,ENSP00000357907,ENSP00000357907.3,CDK19,CDK19-202
ENSG00000155111,ENSG00000155111.15,ENST00000323817,ENST00000323817.7,ENSP00000317665,ENSP00000317665.3,CDK19,CDK19-201
ENSG00000155111,ENSG00000155111.15,ENST00000457688,ENST00000457688.5,ENSP00000415621,ENSP00000415621.1,CDK19,CDK19-204
ENSG00000155111,ENSG00000155111.15,ENST00000413605,ENST00000413605.6,ENSP00000410604,ENSP00000410604.3,CDK19,CDK19-203
ENSG00000002587,ENSG00000002587.10,ENST00000002596,ENST00000002596.6,ENSP00000002596,ENSP00000002596.5,HS3ST1,HS3ST1-201
ENSG00000002587,ENSG00000002587.10,ENST00000514690,ENST00000514690.5,ENSP00000425673,ENSP00000425673.1,HS3ST1,HS3ST1-203
ENSG00000002587,ENSG00000002587.10,ENST00000510712,ENST00000510712.1,ENSP00000422629,ENSP00000422629.1,HS3ST1,HS3ST1-202
ENSG00000131653,ENSG00000131653.13,ENST00000565383,ENST00000565383.5,ENSP00000479297,ENSP00000479297.1,TRAF7,TRAF7-203
ENSG00000131653,ENSG00000131653.13,ENST00000326181,ENST00000326181.11,ENSP00000318944,ENSP00000318944.6,TRAF7,TRAF7-201
ENSG00000131653,ENSG00000131653.13,ENST00000567653,ENST00000567653.5,ENSP00000478515,ENSP00000478515.1,TRAF7,TRAF7-205
ENSG00000131653,ENSG00000131653.13,ENST00000567645,ENST00000567645.2,ENSP00000456034,ENSP00000456034.1,TRAF7,TRAF7-204
ENSG00000250312,ENSG00000250312.8,ENST00000510175,ENST00000510175.6,ENSP00000480556,ENSP00000480556.1,ZNF718,ZNF718-201
ENSG00000250312,ENSG00000250312.8,ENST00000609714,ENST00000609714.1,ENSP00000476435,ENSP00000476435.1,ZNF718,ZNF718-202
ENSG00000254772,ENSG00000254772.10,ENST00000329251,ENST00000329251.5,ENSP00000331901,ENSP00000331901.4,EEF1G,EEF1G-201
ENSG00000104517,ENSG00000104517.13,ENST00000520539,ENST00000520539.6,ENSP00000429084,ENSP00000429084.1,UBR5,UBR5-207
ENSG00000104517,ENSG00000104517.13,ENST00000220959,ENST00000220959.8,ENSP00000220959,ENSP00000220959.4,UBR5,UBR5-201
ENSG00000104517,ENSG00000104517.13,ENST00000518205,ENST00000518205.5,ENSP00000428693,ENSP00000428693.1,UBR5,UBR5-204
ENSG00000104517,ENSG00000104517.13,ENST00000521922,ENST00000521922.5,ENSP00000427819,ENSP00000427819.1,UBR5,UBR5-212
ENSG00000104517,ENSG00000104517.13,ENST00000521566,ENST00000521566.1,ENSP00000428062,ENSP00000428062.1,UBR5,UBR5-210
ENSG00000104517,ENSG00000104517.13,ENST00000520898,ENST00000520898.5,ENSP00000429127,ENSP00000429127.1,UBR5,UBR5-208
ENSG00000104517,ENSG00000104517.13,ENST00000519365,ENST00000519365.1,ENSP00000428138,ENSP00000428138.1,UBR5,UBR5-205
ENSG00000146021,ENSG00000146021.15,ENST00000506491,ENST00000506491.5,ENSP00000424828,ENSP00000424828.1,KLHL3,KLHL3-207
ENSG00000146021,ENSG00000146021.15,ENST00000508657,ENST00000508657.5,ENSP00000422099,ENSP00000422099.1,KLHL3,KLHL3-209
ENSG00000146021,ENSG00000146021.15,ENST00000309755,ENST00000309755.9,ENSP00000312397,ENSP00000312397.4,KLHL3,KLHL3-201
ENSG00000146021,ENSG00000146021.15,ENST00000505853,ENST00000505853.1,ENSP00000426173,ENSP00000426173.1,KLHL3,KLHL3-206
ENSG00000172159,ENSG00000172159.16,ENST00000328788,ENST00000328788.5,ENSP00000328615,ENSP00000328615.1,FRMD3,FRMD3-202
ENSG00000172159,ENSG00000172159.16,ENST00000376434,ENST00000376434.5,ENSP00000365617,ENSP00000365617.1,FRMD3,FRMD3-203
ENSG00000172159,ENSG00000172159.16,ENST00000376438,ENST00000376438.5,ENSP00000365621,ENSP00000365621.1,FRMD3,FRMD3-204
ENSG00000172159,ENSG00000172159.16,ENST00000304195,ENST00000304195.8,ENSP00000303508,ENSP00000303508.3,FRMD3,FRMD3-201
ENSG00000172159,ENSG00000172159.16,ENST00000431299,ENST00000431299.1,ENSP00000412719,ENSP00000412719.1,FRMD3,FRMD3-205
ENSG00000172159,ENSG00000172159.16,ENST00000621208,ENST00000621208.4,ENSP00000484839,ENSP00000484839.1,FRMD3,FRMD3-207
ENSG00000140386,ENSG00000140386.13,ENST00000563290,ENST00000563290.6,ENSP00000454973,ENSP00000454973.1,SCAPER,SCAPER-207
ENSG00000140386,ENSG00000140386.13,ENST00000538941,ENST00000538941.6,ENSP00000442190,ENSP00000442190.2,SCAPER,SCAPER-203
ENSG00000140386,ENSG00000140386.13,ENST00000564590,ENST00000564590.5,ENSP00000456508,ENSP00000456508.1,SCAPER,SCAPER-212
ENSG00000140386,ENSG00000140386.13,ENST00000565970,ENST00000565970.5,ENSP00000455378,ENSP00000455378.1,SCAPER,SCAPER-216
ENSG00000140386,ENSG00000140386.13,ENST00000564022,ENST00000564022.1,ENSP00000456987,ENSP00000456987.1,SCAPER,SCAPER-210
ENSG00000140386,ENSG00000140386.13,ENST00000568382,ENST00000568382.5,ENSP00000456065,ENSP00000456065.1,SCAPER,SCAPER-219
ENSG00000140386,ENSG00000140386.13,ENST00000565372,ENST00000565372.5,ENSP00000455751,ENSP00000455751.1,SCAPER,SCAPER-214
ENSG00000140386,ENSG00000140386.13,ENST00000564177,ENST00000564177.1,ENSP00000457382,ENSP00000457382.1,SCAPER,SCAPER-211
ENSG00000140386,ENSG00000140386.13,ENST00000563919,ENST00000563919.1,ENSP00000455231,ENSP00000455231.1,SCAPER,SCAPER-209
ENSG00000140386,ENSG00000140386.13,ENST00000324767,ENST00000324767.11,ENSP00000326924,ENSP00000326924.7,SCAPER,SCAPER-202
ENSG00000154277,ENSG00000154277.13,ENST00000514924,ENST00000514924.5,ENSP00000426634,ENSP00000426634.1,UCHL1,UCHL1-212
ENSG00000154277,ENSG00000154277.13,ENST00000503431,ENST00000503431.5,ENSP00000422542,ENSP00000422542.1,UCHL1,UCHL1-204
ENSG00000154277,ENSG00000154277.13,ENST00000284440,ENST00000284440.9,ENSP00000284440,ENSP00000284440.4,UCHL1,UCHL1-201
ENSG00000154277,ENSG00000154277.13,ENST00000508768,ENST00000508768.5,ENSP00000426895,ENSP00000426895.1,UCHL1,UCHL1-207
ENSG00000154277,ENSG00000154277.13,ENST00000512788,ENST00000512788.1,ENSP00000423623,ENSP00000423623.1,UCHL1,UCHL1-210
ENSG00000168216,ENSG00000168216.13,ENST00000651675,ENST00000651675.1,ENSP00000498850,ENSP00000498850.1,LMBRD1,LMBRD1-237
ENSG00000168216,ENSG00000168216.13,ENST00000649934,ENST00000649934.3,ENSP00000497690,ENSP00000497690.1,LMBRD1,LMBRD1-229
ENSG00000168216,ENSG00000168216.13,ENST00000649679,ENST00000649679.1,ENSP00000497387,ENSP00000497387.1,LMBRD1,LMBRD1-225
ENSG00000168216,ENSG00000168216.13,ENST00000370570,ENST00000370570.6,ENSP00000359602,ENSP00000359602.1,LMBRD1,LMBRD1-201
ENSG00000168216,ENSG00000168216.13,ENST00000648168,ENST00000648168.1,ENSP00000498178,ENSP00000498178.1,LMBRD1,LMBRD1-208
ENSG00000168216,ENSG00000168216.13,ENST00000649918,ENST00000649918.1,ENSP00000497487,ENSP00000497487.1,LMBRD1,LMBRD1-228
